Client_Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
2071917428.1588836594,17,00:09:25,29.41%,$0.00,0,0.00%
1477869553.1594454993,16,00:08:19,37.50%,$0.00,0,0.00%
238095512.1567248936,14,00:03:09,64.29%,$0.00,0,0.00%
1577940966.1594378013,13,00:22:17,15.38%,$0.00,0,0.00%
636442883.1593324273,13,00:25:54,15.38%,$0.00,0,0.00%
1201069626.1592559388,11,00:07:09,63.64%,$0.00,0,0.00%
122460927.1594013923,11,00:00:09,90.91%,$0.00,0,0.00%
219740715.1594722836,11,00:15:28,9.09%,$0.00,0,0.00%
553446002.1593830023,11,00:01:33,72.73%,$0.00,0,0.00%
1906904642.1593997665,9,00:00:00,88.89%,$0.00,0,0.00%
688778394.1592159017,7,00:03:28,28.57%,$0.00,0,0.00%
1089965625.1593874275,6,00:05:42,33.33%,$0.00,0,0.00%
1279785455.1592891057,6,00:00:05,83.33%,$0.00,0,0.00%
1281891715.1594041043,6,00:03:58,83.33%,$0.00,0,0.00%
1384852581.1594368092,6,00:38:51,16.67%,$0.00,0,0.00%
189854068.1593497040,6,00:00:15,66.67%,$0.00,0,0.00%
34082501.1594119141,6,00:00:00,83.33%,$0.00,0,0.00%
570312660.1564754871,6,00:06:28,50.00%,$0.00,0,0.00%
939646053.1594031414,6,00:04:58,33.33%,$0.00,0,0.00%
1028464448.1593869930,5,00:12:57,60.00%,$0.00,0,0.00%
1141874342.1594636452,5,00:07:37,40.00%,$0.00,0,0.00%
1240968128.1594443283,5,00:02:06,60.00%,$0.00,0,0.00%
1560906909.1594377969,5,00:09:00,60.00%,$0.00,0,0.00%
1738893384.1594018701,5,00:07:20,60.00%,$0.00,0,0.00%
2000315659.1594031372,5,00:02:44,80.00%,$0.00,0,0.00%
632292248.1594366740,5,00:00:27,80.00%,$0.00,0,0.00%
714900019.1593886636,5,00:04:48,20.00%,$0.00,0,0.00%
746350423.1594172965,5,00:04:03,0.00%,$0.00,0,0.00%
874359351.1554532185,5,00:04:34,40.00%,$0.00,0,0.00%
919290064.1584457140,5,00:00:15,80.00%,$0.00,0,0.00%
